integrator,rtol,status,reference,time_sec,species_rel_error,thermo_rel_error,max_rel_error
vode,0.01,PASS,FAIL,0.054050716,0.04720455695029437,0.0013558443526998985,0.04720455695029437
ros2s,0.01,PASS,FAIL,0.046687419,0.004010933309466023,0.0006768835864348612,0.004010933309466023
vode,0.0031622776601683794,PASS,FAIL,0.061445683,0.021021923296878308,0.0006345885722480988,0.021021923296878308
ros2s,0.0031622776601683794,PASS,FAIL,0.041895741,0.008570567718440175,0.001334999025091228,0.008570567718440175
vode,0.001,PASS,FAIL,0.073652218,0.012747816981218232,0.00036448439146791704,0.012747816981218232
ros2s,0.001,PASS,FAIL,0.050620292,0.0012271045460137318,0.0001876373927466529,0.0012271045460137318
vode,0.00031622776601683794,PASS,FAIL,0.094882322,0.003428855269799471,0.0001134215002781833,0.003428855269799471
ros2s,0.00031622776601683794,PASS,PASS,0.064580598,0.00026169064236070583,4.772919206922558e-05,0.00026169064236070583
vode,0.0001,PASS,PASS,0.087657585,0.0006143409895940013,3.542837444991869e-05,0.0006143409895940013
ros2s,0.0001,PASS,PASS,0.0931293,2.9681486428740572e-05,6.393767758748961e-06,2.9681486428740572e-05
vode,3.1622776601683795e-05,PASS,PASS,0.105629624,5.842633419020148e-05,8.988951731304644e-06,5.842633419020148e-05
ros2s,3.1622776601683795e-05,PASS,PASS,0.140086538,6.564375261759531e-06,1.7486269157136909e-06,6.564375261759531e-06
vode,1e-05,PASS,PASS,1.695332532,7.629666856881446e-05,3.393868077941108e-06,7.629666856881446e-05
ros2s,1e-05,PASS,PASS,0.230910978,1.6361229906868142e-06,4.43060258722147e-08,1.6361229906868142e-06
vode,3.162277660168379e-06,PASS,PASS,0.207712224,3.0995897584969564e-05,2.966581010602682e-06,3.0995897584969564e-05
ros2s,3.162277660168379e-06,PASS,PASS,0.399891156,2.4788078672545996e-06,3.669345737386275e-08,2.4788078672545996e-06
vode,1e-06,PASS,PASS,0.308661177,2.3041245384757512e-05,1.6936464384925684e-06,2.3041245384757512e-05
ros2s,1e-06,PASS,PASS,1.130682059,2.0785882887247048e-07,1.3993034950896113e-08,2.0785882887247048e-07
vode,3.162277660168379e-07,PASS,PASS,0.301928038,3.620244677349891e-06,1.9931037707791763e-07,3.620244677349891e-06
ros2s,3.162277660168379e-07,PASS,PASS,1.718343628,5.026331364561597e-07,1.303619266332374e-08,5.026331364561597e-07
vode,1e-07,PASS,PASS,0.320337605,3.9684636544643205e-06,2.7128625953944127e-07,3.9684636544643205e-06
ros2s,1e-07,PASS,PASS,4.108281547,5.271410065456506e-08,4.359418685887365e-09,5.271410065456506e-08
vode,3.162277660168379e-08,PASS,PASS,0.567132762,2.5209594206756793e-06,1.9306620640942136e-07,2.5209594206756793e-06
ros2s,3.162277660168379e-08,PASS,PASS,10.074059486,1.9326250723202247e-08,3.2306179044486947e-09,1.9326250723202247e-08
vode,1e-08,INTERNAL_FAIL,FAIL,nan,nan,nan,nan
ros2s,1e-08,PASS,PASS,24.389313449,2.1060384717606323e-06,3.1139107917429672e-09,2.1060384717606323e-06
