integrator,rtol,status,reference,time_sec,species_rel_error,thermo_rel_error,max_rel_error
vode,0.01,INTERNAL_FAIL,FAIL,nan,nan,nan,nan
ros2s,0.01,PASS,FAIL,3.637195087,0.005375478071827267,0.0008942711206804057,0.005375478071827267
vode,0.006812920690579615,PASS,FAIL,5.171688806,0.03570721213776908,0.0011829691637568072,0.03570721213776908
ros2s,0.006812920690579615,PASS,FAIL,3.389201709,0.01560562199833041,0.0024890722004335475,0.01560562199833041
vode,0.004641588833612777,PASS,FAIL,5.225841222,0.03568454529570977,0.000995792196142829,0.03568454529570977
ros2s,0.004641588833612777,PASS,FAIL,3.253920352,0.003546686332147989,0.0006109709757241385,0.003546686332147989
vode,0.0031622776601683794,PASS,FAIL,5.681114858,0.025019764190212988,0.0007182136216027295,0.025019764190212988
ros2s,0.0031622776601683794,PASS,FAIL,3.319045729,0.007524780379261093,0.0011911837652029578,0.007524780379261093
vode,0.0021544346900318843,PASS,FAIL,6.282107714,0.01896230034706104,0.0005201002547238502,0.01896230034706104
ros2s,0.0021544346900318843,PASS,FAIL,3.439910443,0.002172178766827515,0.00035497803537505156,0.002172178766827515
vode,0.0014677992676220691,PASS,FAIL,6.119836568,0.015736838345401277,0.0003901102974917282,0.015736838345401277
ros2s,0.0014677992676220691,PASS,PASS,3.954632097,0.00011392507075956661,1.4367491526760448e-05,0.00011392507075956661
vode,0.001,PASS,FAIL,6.98313108,0.010928423678058935,0.0003359908790539841,0.010928423678058935
ros2s,0.001,PASS,FAIL,4.000326572,0.0007037632784881605,0.00013638799158694503,0.0007037632784881605
vode,0.0006812920690579609,PASS,FAIL,7.054171371,0.008521616085521936,0.00026459204099481086,0.008521616085521936
ros2s,0.0006812920690579609,PASS,PASS,4.34608827,0.00016319432182888193,1.0373827491442781e-05,0.00016319432182888193
vode,0.0004641588833612782,PASS,FAIL,7.041447208,0.005931698581940311,0.00016756499760007087,0.005931698581940311
ros2s,0.0004641588833612782,PASS,FAIL,4.638768316,0.0016777359480932073,0.00028228170335543244,0.0016777359480932073
vode,0.00031622776601683794,PASS,FAIL,10.230690912,0.0034855459402513547,0.00012221992564298814,0.0034855459402513547
ros2s,0.00031622776601683794,PASS,PASS,5.238556627,6.709811796850945e-05,1.1548569877664959e-05,6.709811796850945e-05
vode,0.00021544346900318823,INTERNAL_FAIL,FAIL,nan,nan,nan,nan
ros2s,0.00021544346900318823,PASS,PASS,5.655197682,0.000236856834043053,4.627259666529887e-05,0.000236856834043053
vode,0.00014677992676220705,PASS,FAIL,8.138319707,0.0011685511209323552,5.6145934480738455e-05,0.0011685511209323552
ros2s,0.00014677992676220705,PASS,PASS,6.35937005,0.00010081156545733743,2.117984731382691e-05,0.00010081156545733743
vode,0.0001,PASS,PASS,12.355312122,0.0006145960745808284,3.869243597126171e-05,0.0006145960745808284
ros2s,0.0001,PASS,PASS,7.208127637,3.454619862249403e-05,5.197292287186939e-06,3.454619862249403e-05
