integrator,rtol,atol,energy_rtol,energy_atol,status,reference,time_sec,species_rel_error,thermo_rel_error,max_rel_error
ros2s,0.01,0.01,0.0001,9.999999999999999e-05,PASS,FAIL,35.777769511,0.012043117938581725,0.0019220933281113464,0.012043117938581725
sandu-a,0.01,0.01,0.0001,9.999999999999999e-05,PASS,FAIL,10.41269371,0.010266536789248312,0.0016515993662624736,0.010266536789248312
sandu-a,0.004641588833612782,0.004641588833612782,4.6415888336127825e-05,4.641588833612782e-05,PASS,FAIL,12.00586169,0.00032807698881976403,4.673728258842259e-05,0.00032807698881976403
sandu-a,0.002154434690031884,0.002154434690031884,2.154434690031884e-05,2.1544346900318837e-05,PASS,FAIL,11.96933228,8.878828583399637e-05,1.2464914493487201e-06,8.878828583399637e-05
sandu-a,0.001,0.001,1e-05,9.999999999999999e-06,PASS,FAIL,14.010564115,3.2881915127182745e-05,5.709351135790219e-08,3.2881915127182745e-05
sandu-a,0.0004641588833612782,0.0004641588833612782,4.641588833612782e-06,4.641588833612782e-06,PASS,FAIL,16.968425465,1.2891555598000875e-05,8.278097242734315e-08,1.2891555598000875e-05
sandu-a,0.00021544346900318829,0.0002154434690031883,2.154434690031883e-06,2.1544346900318827e-06,PASS,FAIL,19.554437241,7.58839726632402e-06,1.4203587042720916e-07,7.58839726632402e-06
sandu-a,0.0001,0.0001,1.0000000000000002e-06,1e-06,PASS,FAIL,23.480534923,8.421369951381789e-07,4.906134350675143e-09,8.421369951381789e-07
ros2s,0.004641588833612782,0.004641588833612782,4.6415888336127825e-05,4.641588833612782e-05,PASS,FAIL,36.477080697,0.018575808157095003,0.002965129406874978,0.018575808157095003
sandu-b,0.01,0.01,0.0001,9.999999999999999e-05,PASS,FAIL,10.780516599,0.055609528966657495,0.009248490951517033,0.055609528966657495
sandu-b,0.004641588833612782,0.004641588833612782,4.6415888336127825e-05,4.641588833612782e-05,PASS,FAIL,10.791982257,0.00032329600816938524,1.6960129797044976e-05,0.00032329600816938524
sandu-b,0.002154434690031884,0.002154434690031884,2.154434690031884e-05,2.1544346900318837e-05,PASS,FAIL,10.53598574,0.00011042810320686052,1.2515408494757545e-06,0.00011042810320686052
sandu-b,0.001,0.001,1e-05,9.999999999999999e-06,PASS,FAIL,10.848585096,3.9847316300393266e-05,8.931328645741566e-07,3.9847316300393266e-05
ros2s,0.002154434690031884,0.002154434690031884,2.154434690031884e-05,2.1544346900318837e-05,PASS,FAIL,34.558068203,0.010515313563271976,0.0016890955639212325,0.010515313563271976
sandu-b,0.0004641588833612782,0.0004641588833612782,4.641588833612782e-06,4.641588833612782e-06,PASS,FAIL,13.527479746,1.784763202505878e-05,4.887833909410031e-07,1.784763202505878e-05
sandu-b,0.00021544346900318829,0.0002154434690031883,2.154434690031883e-06,2.1544346900318827e-06,PASS,FAIL,17.169819564,8.544114940623376e-06,2.346199857924319e-07,8.544114940623376e-06
sandu-b,0.0001,0.0001,1.0000000000000002e-06,1e-06,PASS,FAIL,21.071728454,1.5532732200376484e-06,1.629744124143699e-07,1.5532732200376484e-06
sandu-c,0.01,0.01,0.0001,9.999999999999999e-05,PASS,FAIL,12.604200677,0.007450962970012507,0.0009942230707687535,0.007450962970012507
ros2s,0.001,0.001,1e-05,9.999999999999999e-06,PASS,FAIL,34.044124699,0.0023893200021471357,0.00038330240760118156,0.0023893200021471357
sandu-c,0.004641588833612782,0.004641588833612782,4.6415888336127825e-05,4.641588833612782e-05,PASS,FAIL,16.179850056,0.0007332848501728899,3.8270119265831373e-05,0.0007332848501728899
sandu-c,0.002154434690031884,0.002154434690031884,2.154434690031884e-05,2.1544346900318837e-05,PASS,FAIL,15.228289787,0.00030789104962285105,1.7410679447171262e-06,0.00030789104962285105
sandu-c,0.001,0.001,1e-05,9.999999999999999e-06,PASS,FAIL,16.318424374,0.00017863932012131896,1.1572445854669821e-06,0.00017863932012131896
sandu-c,0.0004641588833612782,0.0004641588833612782,4.641588833612782e-06,4.641588833612782e-06,PASS,FAIL,20.80410687,7.802196104089224e-05,6.205254401321916e-06,7.802196104089224e-05
sandu-c,0.00021544346900318829,0.0002154434690031883,2.154434690031883e-06,2.1544346900318827e-06,PASS,FAIL,26.871765486,3.081005872986759e-05,1.923237877646399e-06,3.081005872986759e-05
sandu-c,0.0001,0.0001,1.0000000000000002e-06,1e-06,PASS,FAIL,30.661304861,1.9733629567489987e-05,1.0074324927459972e-06,1.9733629567489987e-05
ros2s,0.0004641588833612782,0.0004641588833612782,4.641588833612782e-06,4.641588833612782e-06,PASS,FAIL,36.3525833,0.00019859653396073126,3.690054332665988e-05,0.00019859653396073126
sandu-d,0.01,0.01,0.0001,9.999999999999999e-05,PASS,FAIL,48.287410009,0.02498376465301531,0.003926689667436889,0.02498376465301531
sandu-d,0.004641588833612782,0.004641588833612782,4.6415888336127825e-05,4.641588833612782e-05,PASS,FAIL,48.71598399,0.00034622162146120776,5.371793692886047e-05,0.00034622162146120776
sandu-d,0.002154434690031884,0.002154434690031884,2.154434690031884e-05,2.1544346900318837e-05,PASS,FAIL,48.855560213,0.0001374068559133879,2.0933633316900432e-05,0.0001374068559133879
sandu-d,0.001,0.001,1e-05,9.999999999999999e-06,PASS,FAIL,49.504578592,5.972611558417114e-05,8.69008795687297e-06,5.972611558417114e-05
sandu-d,0.0004641588833612782,0.0004641588833612782,4.641588833612782e-06,4.641588833612782e-06,PASS,FAIL,53.378314664,6.907093049054071e-06,7.978896308790202e-07,6.907093049054071e-06
sandu-d,0.00021544346900318829,0.0002154434690031883,2.154434690031883e-06,2.1544346900318827e-06,PASS,FAIL,54.793239328,3.862431693140761e-06,4.2102849501515967e-07,3.862431693140761e-06
sandu-d,0.0001,0.0001,1.0000000000000002e-06,1e-06,PASS,FAIL,57.683543787,1.7877524120562883e-06,2.428219606243164e-07,1.7877524120562883e-06
ros2s,0.00021544346900318829,0.0002154434690031883,2.154434690031883e-06,2.1544346900318827e-06,PASS,FAIL,36.899151532,9.35793619436299e-05,1.6015761561955078e-05,9.35793619436299e-05
ros2s,0.0001,0.0001,1.0000000000000002e-06,1e-06,PASS,FAIL,38.202033505,5.075149588908698e-05,1.1091138819078883e-05,5.075149588908698e-05
