integrator,rtol,atol,energy_rtol,energy_atol,status,reference,time_sec,species_rel_error,thermo_rel_error,max_rel_error
ros2s,0.01,nan,0.0001,nan,PASS,FAIL,4.311572987,0.002393605628961751,0.0003634687677371939,0.002393605628961751
ros2,0.01,nan,0.0001,nan,PASS,FAIL,5.053310226,0.004634726199500802,0.00015708433720370494,0.004634726199500802
sandu-a,0.01,nan,0.0001,nan,PASS,FAIL,4.174738161,0.0010199369475628784,0.00015077807331312533,0.0010199369475628784
sandu-b,0.01,nan,0.0001,nan,PASS,FAIL,4.169263997,0.052371841883277856,0.008352050853061206,0.052371841883277856
sandu-c,0.01,nan,0.0001,nan,PASS,FAIL,4.141962369,0.006196915660051906,0.0009572511268301662,0.006196915660051906
sandu-d,0.01,nan,0.0001,nan,PASS,FAIL,3.24599241,0.006694703493710473,0.0010493064478853064,0.006694703493710473
ros2s,0.006812920690579615,nan,6.812920690579615e-05,nan,PASS,FAIL,4.143716401,0.013618249854233582,0.0020831558968647424,0.013618249854233582
ros2,0.006812920690579615,nan,6.812920690579615e-05,nan,PASS,FAIL,5.64504295,0.0016545969950154994,7.675430584753494e-05,0.0016545969950154994
sandu-a,0.006812920690579615,nan,6.812920690579615e-05,nan,PASS,FAIL,4.323330105,0.0005288335199281613,8.142641472101887e-05,0.0005288335199281613
sandu-b,0.006812920690579615,nan,6.812920690579615e-05,nan,PASS,PASS,4.337623114,0.0003731613815548688,4.212865817666652e-05,0.0003731613815548688
sandu-c,0.006812920690579615,nan,6.812920690579615e-05,nan,PASS,FAIL,4.268090244,0.0008593279515349849,4.6951501198140815e-05,0.0008593279515349849
sandu-d,0.006812920690579615,nan,6.812920690579615e-05,nan,PASS,FAIL,3.83238727,0.008908951038915676,0.001401724381208306,0.008908951038915676
ros2s,0.004641588833612777,nan,4.641588833612777e-05,nan,PASS,FAIL,4.045891374,0.005607667818829533,0.0009080802778595913,0.005607667818829533
ros2,0.004641588833612777,nan,4.641588833612777e-05,nan,PASS,FAIL,6.180128125,0.0019781571001790408,3.0176205174325477e-05,0.0019781571001790408
sandu-a,0.004641588833612777,nan,4.641588833612777e-05,nan,PASS,PASS,4.691200401,0.0002300905113865748,2.6703268423765333e-05,0.0002300905113865748
sandu-b,0.004641588833612777,nan,4.641588833612777e-05,nan,PASS,PASS,4.978016541,0.00016860612882168085,1.4707589448719744e-06,0.00016860612882168085
sandu-c,0.004641588833612777,nan,4.641588833612777e-05,nan,PASS,PASS,4.555128438,0.00040010338277985253,2.6605681737707204e-05,0.00040010338277985253
sandu-d,0.004641588833612777,nan,4.641588833612777e-05,nan,PASS,FAIL,4.121251295,0.0005068802437344875,7.696365627555659e-05,0.0005068802437344875
ros2s,0.0031622776601683794,nan,3.1622776601683795e-05,nan,PASS,FAIL,4.221415698,0.002790557694567209,0.0004935039088251582,0.002790557694567209
ros2,0.0031622776601683794,nan,3.1622776601683795e-05,nan,PASS,FAIL,6.972248573,0.0012605272203537945,2.0948452472211263e-05,0.0012605272203537945
sandu-a,0.0031622776601683794,nan,3.1622776601683795e-05,nan,PASS,PASS,5.140343769,0.00012700125240400897,3.980246595397866e-06,0.00012700125240400897
sandu-b,0.0031622776601683794,nan,3.1622776601683795e-05,nan,PASS,PASS,7.792151197,8.148663351629273e-05,1.7588457137980312e-06,8.148663351629273e-05
sandu-c,0.0031622776601683794,nan,3.1622776601683795e-05,nan,PASS,PASS,6.532692206,9.075487237886863e-05,4.470151130501791e-06,9.075487237886863e-05
