integrator,rtol,atol,energy_rtol,energy_atol,status,reference,time_sec,species_rel_error,thermo_rel_error,max_rel_error
ros2s,0.01,nan,0.0001,nan,PASS,FAIL,130.949998187,0.016820419739694566,0.002671752763726688,0.016820419739694566
ros2,0.01,nan,0.0001,nan,PASS,FAIL,10.520212458,0.0048366788506502105,0.00021028336188331546,0.0048366788506502105
sandu-a,0.01,nan,0.0001,nan,PASS,FAIL,35.685193824,0.047730032114110754,0.00759688640879302,0.047730032114110754
sandu-b,0.01,nan,0.0001,nan,PASS,FAIL,29.093467273,0.056766656680609436,0.0094413836737588,0.056766656680609436
sandu-c,0.01,nan,0.0001,nan,PASS,FAIL,28.336347528,0.011628159332202934,0.0016884218195326905,0.011628159332202934
sandu-d,0.01,nan,0.0001,nan,PASS,FAIL,154.654293109,0.012385145186693359,0.0019488059507094895,0.012385145186693359
ros2s,0.0072180380364659435,nan,7.218038036465944e-05,nan,PASS,FAIL,129.858146208,0.019246973520902308,0.0030633339856709755,0.019246973520902308
ros2,0.0072180380364659435,nan,7.218038036465944e-05,nan,PASS,FAIL,10.603048293,0.0030188089194348607,6.750706359764412e-05,0.0030188089194348607
sandu-a,0.0072180380364659435,nan,7.218038036465944e-05,nan,PASS,FAIL,35.523096787,0.0010635190848913836,0.00016524234143841816,0.0010635190848913836
sandu-b,0.0072180380364659435,nan,7.218038036465944e-05,nan,PASS,FAIL,32.577461325,0.0004904657734959221,1.9663001059992878e-05,0.0004904657734959221
sandu-c,0.0072180380364659435,nan,7.218038036465944e-05,nan,PASS,FAIL,31.174457646,0.0007945489952570834,9.650800094395764e-05,0.0007945489952570834
sandu-d,0.0072180380364659435,nan,7.218038036465944e-05,nan,PASS,FAIL,155.896471395,0.0164965907140459,0.0026078272520939317,0.0164965907140459
ros2s,0.005210007309586913,nan,5.210007309586913e-05,nan,PASS,FAIL,130.453506912,0.01684814357813184,0.002697867742551125,0.01684814357813184
ros2,0.005210007309586913,nan,5.210007309586913e-05,nan,PASS,FAIL,11.192169321,0.00260811620091499,0.00011520210001387816,0.00260811620091499
sandu-a,0.005210007309586913,nan,5.210007309586913e-05,nan,PASS,FAIL,35.911965488,0.0003598755616642047,4.6411047743186886e-05,0.0003598755616642047
sandu-b,0.005210007309586913,nan,5.210007309586913e-05,nan,PASS,FAIL,33.267295183,0.0003694234099421219,3.952953720219542e-05,0.0003694234099421219
sandu-c,0.005210007309586913,nan,5.210007309586913e-05,nan,PASS,FAIL,47.565585043,0.0008171816174115234,8.807282879773895e-06,0.0008171816174115234
ros2s,0.0037606030930863936,nan,3.7606030930863934e-05,nan,PASS,FAIL,132.293273244,0.004654047319374803,0.000769784553749261,0.004654047319374803
ros2,0.0037606030930863936,nan,3.7606030930863934e-05,nan,PASS,FAIL,12.576825341,0.0015822724022682177,7.082118517962052e-05,0.0015822724022682177
sandu-a,0.0037606030930863936,nan,3.7606030930863934e-05,nan,PASS,FAIL,36.980861605,0.00022154735475344014,2.448689326803075e-05,0.00022154735475344014
sandu-b,0.0037606030930863936,nan,3.7606030930863934e-05,nan,PASS,FAIL,34.730698557,0.00021234505777973574,8.007319019843672e-06,0.00021234505777973574
sandu-c,0.0037606030930863936,nan,3.7606030930863934e-05,nan,PASS,FAIL,57.662719372,0.0005353788527670962,4.908521956867126e-05,0.0005353788527670962
ros2s,0.002714417616594907,nan,2.714417616594907e-05,nan,PASS,FAIL,133.049897424,0.0041971820314268046,0.000687665015205452,0.0041971820314268046
ros2,0.002714417616594907,nan,2.714417616594907e-05,nan,PASS,PASS,14.213554499,0.0010546253428894063,3.2791252472056755e-05,0.0010546253428894063
sandu-a,0.002714417616594907,nan,2.714417616594907e-05,nan,PASS,FAIL,39.711459067,0.00011733620799246099,6.598334336046892e-06,0.00011733620799246099
sandu-b,0.002714417616594907,nan,2.714417616594907e-05,nan,PASS,FAIL,35.755229868,0.00014114978644071992,1.1464514995338216e-06,0.00014114978644071992
sandu-c,0.002714417616594907,nan,2.714417616594907e-05,nan,PASS,FAIL,46.532127,0.00035275050733417097,2.3039665558940655e-06,0.00035275050733417097
ros2s,0.0019592769603435267,nan,1.959276960343527e-05,nan,PASS,FAIL,132.241768579,0.004967912796579651,0.0008141717743489567,0.004967912796579651
ros2,0.0019592769603435267,nan,1.959276960343527e-05,nan,PASS,PASS,14.916489912,0.0006624783700509262,5.838011038844306e-06,0.0006624783700509262
sandu-a,0.0019592769603435267,nan,1.959276960343527e-05,nan,PASS,FAIL,40.969639253,7.787508386475507e-05,3.1480711682533895e-06,7.787508386475507e-05
sandu-b,0.0019592769603435267,nan,1.959276960343527e-05,nan,PASS,FAIL,34.705384101,0.00010729003204988016,2.3743006620379894e-07,0.00010729003204988016
sandu-c,0.0019592769603435267,nan,1.959276960343527e-05,nan,PASS,FAIL,45.779809916,0.0002209346498452901,7.231172436398833e-06,0.0002209346498452901
ros2s,0.0014142135623730952,nan,1.4142135623730953e-05,nan,PASS,FAIL,126.538659522,0.006848707555190383,0.0011419967901929449,0.006848707555190383
ros2,0.0014142135623730952,nan,1.4142135623730953e-05,nan,PASS,PASS,17.177228234,0.00044067294266961546,7.551740595807243e-06,0.00044067294266961546
sandu-a,0.0014142135623730952,nan,1.4142135623730953e-05,nan,PASS,FAIL,43.370510363,6.0744984076724114e-05,3.1317170249091655e-07,6.0744984076724114e-05
sandu-b,0.0014142135623730952,nan,1.4142135623730953e-05,nan,PASS,FAIL,37.043074476,6.107318554164484e-05,1.4022671760130691e-06,6.107318554164484e-05
sandu-c,0.0014142135623730952,nan,1.4142135623730953e-05,nan,PASS,FAIL,51.948142484,0.00018270177216381028,2.313410909107552e-05,0.00018270177216381028
ros2s,0.0010207847284895003,nan,1.0207847284895003e-05,nan,PASS,FAIL,125.065426539,0.0032676720261375016,0.0005329739654355546,0.0032676720261375016
ros2,0.0010207847284895003,nan,1.0207847284895003e-05,nan,PASS,PASS,18.63472837,0.0002536388924354375,2.4862873787254473e-06,0.0002536388924354375
sandu-a,0.0010207847284895003,nan,1.0207847284895003e-05,nan,PASS,FAIL,40.910048616,3.47912004342431e-05,5.545788567991107e-07,3.47912004342431e-05
sandu-b,0.0010207847284895003,nan,1.0207847284895003e-05,nan,PASS,FAIL,37.257938356,4.350557525604991e-05,8.771935169577761e-07,4.350557525604991e-05
sandu-c,0.0010207847284895003,nan,1.0207847284895003e-05,nan,PASS,FAIL,55.161113267,0.00012990161984535663,8.84959693045821e-07,0.00012990161984535663
