integrator,rtol,atol,energy_rtol,energy_atol,status,reference,time_sec,species_rel_error,thermo_rel_error,max_rel_error
ros2s,0.01,nan,0.0001,nan,PASS,FAIL,4.250838568,0.002393605628961751,0.0003634687677371939,0.002393605628961751
ros2,0.01,nan,0.0001,nan,PASS,FAIL,4.81060401,0.004634726199500802,0.00015708433720370494,0.004634726199500802
sandu-a,0.01,nan,0.0001,nan,PASS,FAIL,4.026241814,0.0010199369475628784,0.00015077807331312533,0.0010199369475628784
sandu-b,0.01,nan,0.0001,nan,PASS,FAIL,4.023362675,0.052371841883277856,0.008352050853061206,0.052371841883277856
sandu-c,0.01,nan,0.0001,nan,PASS,FAIL,3.997527993,0.006196915660051906,0.0009572511268301662,0.006196915660051906
sandu-d,0.01,nan,0.0001,nan,PASS,FAIL,3.150547469,0.006694703493710473,0.0010493064478853064,0.006694703493710473
ros2s,0.0072180380364659435,nan,7.218038036465944e-05,nan,PASS,FAIL,4.022190113,0.009608066477641015,0.0015691140280077568,0.009608066477641015
ros2,0.0072180380364659435,nan,7.218038036465944e-05,nan,PASS,FAIL,5.241999061,0.003110758861417051,0.00015594549977550155,0.003110758861417051
sandu-a,0.0072180380364659435,nan,7.218038036465944e-05,nan,PASS,PASS,4.274666291,0.00024617040444894464,1.772654271938458e-05,0.00024617040444894464
sandu-b,0.0072180380364659435,nan,7.218038036465944e-05,nan,PASS,PASS,4.156147711,0.00046719373642849644,5.437960734028825e-05,0.00046719373642849644
sandu-c,0.0072180380364659435,nan,7.218038036465944e-05,nan,PASS,FAIL,4.090672927,0.0009878194774876911,7.101834578062695e-05,0.0009878194774876911
sandu-d,0.0072180380364659435,nan,7.218038036465944e-05,nan,PASS,FAIL,3.775344587,0.00044077463317429696,6.838721030121346e-05,0.00044077463317429696
ros2s,0.005210007309586913,nan,5.210007309586913e-05,nan,PASS,FAIL,3.882304414,0.013586800532369138,0.002180292454673373,0.013586800532369138
ros2,0.005210007309586913,nan,5.210007309586913e-05,nan,PASS,FAIL,5.670694115,0.0022813781443862206,8.092790924729523e-05,0.0022813781443862206
sandu-a,0.005210007309586913,nan,5.210007309586913e-05,nan,PASS,PASS,4.300455209,0.00031331070723386703,3.87002081688262e-05,0.00031331070723386703
